name,x,z,s
001, -0.004243949, 0.005356, 1.350915928
002, -0.001756811, -0.00443766, 1.359732112
003, 0.006592863, 0.001399854, 1.346048144
004, -0.001306423, 0.000874735, 1.354220939
005, 0.002858141, 0.004281562, 1.351555949
006, -0.002198108, -0.00176532, 1.357375265
007, 0.004879599, -0.003835592, 1.351990413
008, -0.007149388, 0.00601276, 1.353667827
009, -0.006230942, -0.000399419, 1.361677664
010, -0.004072658, 0.001751925, 1.357997061
011, -0.004273786, 0.003080308, 1.35598917
012, -0.000261139, 0.000590402, 1.349937444
013, 0.001459387, -0.006783871, 1.355465386
014, -0.002344001, -0.000329981, 1.353947129
015, 0.002930127, -0.003077769, 1.354062698
016, -0.000513446, -0.005887518, 1.355787035
017, -0.001349642, 0.003164286, 1.350464945
018, -0.000545371, -0.000159066, 1.350845339
020, -0.000260456, 0.004076701, 1.350350422
021, -0.002069213, 0.000545727, 1.36097397
022, -0.000420594, -0.000909392, 1.352225719
023, -0.000181603, 0.000873964, 1.351964644
024, -0.001654711, -0.004884251, 1.358063721
025, -0.001132827, 0.004508652, 1.35368436
026, 0.001366271, -0.004781948, 1.352298528
027, -0.004867163, -0.003313327, 1.361592326
030, -0.000478027, -0.002526713, 1.350629539
031, -0.002762026, 0.001511726, 1.354913746
032, -0.001089237, 0.002325974, 1.352426709
033, -0.003426427, 0.000193519, 1.360922119
034, -0.00229857, -0.007147296, 1.363989948
035, 0.002360672, -0.001509468, 1.353315463
036, -0.000703486, 0.001917567, 1.354210637
037, -0.002588339, -0.002850594, 1.358095938
038, 0.003252187, -0.000362613, 1.350522262
040, 0.002131921, -0.00018144, 1.350580719
041, 0.002902967, -0.006227149, 1.354094109
042, 0.000625813, -0.003288361, 1.357458241
043, -0.001375911, -0.000375249, 1.353653334
044, 0.006327589, -0.004377149, 1.346303385
045, 0.00421506, -0.001201066, 1.34523983
046, 0.006721623, -0.001923697, 1.342575262
047, 0.000260542, 0.003183142, 1.348206879
048, 0.003608045, -0.002337287, 1.354405571
049, 0.002973414, -0.002054152, 1.352492574
051, -0.002038518, 0.005719175, 1.352498892
052, -0.002896599, 0.00260126, 1.352826539
053, 0.000192742, 0.001972766, 1.351246328
054, -0.001276855, -0.004012972, 1.357443611
055, -0.003688914, 0.000159398, 1.356815547
056, -0.000556373, 0.00077211, 1.352315463
057, 0.00045321, 0.002707931, 1.352137772
058, 0.000215834, -0.000670221, 1.351475925
059, 0.002688473, -0.006846492, 1.355431168
060, -0.001408165, 0.001430877, 1.349740774
061, -0.003831119, -0.00165331, 1.359776901
062, -0.00049955, 0.000806091, 1.352602073
063, -0.000671919, -0.003165989, 1.354985251
064, 0.00352974, 0.001549918, 1.344683829
065, 0.000444, -0.00374554, 1.354700493
066, 0.000262462, -0.006789789, 1.359813357
067, 0.002984829, -0.002122293, 1.351417053
068, -0.008104723, -0.002644338, 1.361393183
069, 0.004412297, 0.000735383, 1.350402843
070, -0.00343894, 0.004267464, 1.352834922
072, 0.006570619, 0.006008066, 1.341084761
073, -0.003540371, -0.004020034, 1.356065839
074, 0.000385793, 0.00076024, 1.350504531
075, -0.003667221, -0.000216389, 1.357043836
076, 0.000306337, 0.00097574, 1.355526498
077, 0.000318355, -0.001921499, 1.356902057
080, 0.000295228, -0.000102194, 1.351080115
082, 0.002389855, 0.001189264, 1.352348819
083, 0.006366352, -0.002967943, 1.347371519
084, 0.002386391, -0.003329583, 1.354732444
085, 0.00394097, -0.004077258, 1.349019137
086, -0.0013647, -0.000614115, 1.352874547
087, -0.00108032, -0.000773282, 1.355517047
088, -0.00150903, 0.002779793, 1.351008827
089, -0.003463153, 0.0037016, 1.353299194
091, -0.007083527, 0.005514463, 1.353219627
092, 0.002966272, 0.001222738, 1.350984098
093, -0.001172574, -0.002106079, 1.351280867
094, 0.001103217, -0.003173171, 1.354726959
095, 0.003047669, -0.009930605, 1.355388372
097, 0.004627998, -0.003051302, 1.350954504
098, 0.000634838, 0.001734469, 1.350916723
099, 0.002569228, -0.003978892, 1.353563449
100, 0.003168696, 0.001584348, 1.352055531
101, 0.005941705, 0.003776985, 1.340296407
102, 0.003277265, 0.003333769, 1.349568515
105, 0.002207697, 0.001992588, 1.347701888
107, 0.00146371, -0.000295011, 1.354130214
108, 0.002036186, 0.003291834, 1.349467672
109, -0.002063132, -0.002963615, 1.353406376
110, -0.003969418, -0.00195049, 1.363231704
112, 0.002713472, 0.003244861, 1.348963165
113, -0.001224624, 0.003288341, 1.35310939
114, 0.003598519, -0.003053633, 1.349092795
115, 0.000238382, 0.000374601, 1.355314956
116, 0.00146098, 0.002242434, 1.354363213
117, 0.002283119, -0.002635242, 1.357034893
118, -0.000888927, -0.003863411, 1.362818964
119, -0.001339457, 0.001952429, 1.356950434
120, 0.005641311, -0.002186291, 1.353856776
121, -0.00541016, 0.001366777, 1.357581023
122, -0.002969128, 0.000682558, 1.354566159
124, -0.002166855, -0.003592417, 1.361938821
125, -0.005794662, -0.008399391, 1.374650977
126, -0.001346397, 0.006347302, 1.352562501
127, 0.001289015, -0.007277802, 1.359526428
128, -0.003533958, -0.001595981, 1.357283723
129, -0.002965968, 0.002125042, 1.352868905
130, -0.003965644, -0.000740709, 1.361892344
131, -0.003083972, 0.005226879, 1.352652785
132, 0.00373589, 0.004559818, 1.349645113
133, 0.004794715, -0.005408257, 1.355912455
134, -0.00070425, 0.000352125, 1.359299388
135, 0.004849188, -0.001699482, 1.349884714
136, 0.002022915, -0.003079831, 1.357865491
137, 0.000615406, -0.005401897, 1.358324132
138, -0.006001708, -0.000342303, 1.360510677
139, 0.007625787, -0.0026249, 1.35306574
140, 0.001374119, -0.00134005, 1.358913193
141, 0.004705436, 0.000644735, 1.350577768
142, -0.003275511, 0.001194197, 1.361154382
143, 0.001124211, -0.000987943, 1.354659424
144, -0.003306892, -0.002269212, 1.365529808
146, -0.006193636, -0.004842714, 1.36822234
147, 0.000158921, 0.000397303, 1.356503961
148, 0.001589638, -0.001407965, 1.357633343
149, 0.000250449, -0.003551829, 1.358474488
150, 0.005183263, -0.000543224, 1.346758914
151, 0.005532336, -0.003174291, 1.358224685
152, 0.001101804, -0.001340339, 1.352266514
153, -0.000780341, 0.006401062, 1.345652428
154, 0.001205563, -0.003229998, 1.355562076
155, 0.003134742, -0.003339182, 1.358145261
156, -0.001342134, -0.000727937, 1.357872205
157, 0.001629411, 0.003292769, 1.351886395
158, -0.001045384, 0.000272709, 1.358713497
159, 0.001461397, 0.001778599, 1.350800865
160, 0.002050098, 0.001483773, 1.350884406
161, 0.001761142, -0.002454237, 1.358633916
162, 0.002186885, 0.000883819, 1.352228209
163, -0.001670239, 0.000988509, 1.358119331
164, 0.004471651, 0.003206942, 1.352149306
165, -0.005019302, -0.001095121, 1.364306854
166, -0.004025607, -0.00168779, 1.36491227
167, -0.000671775, -0.002823732, 1.354013825
168, -0.001056521, 0.000579383, 1.355272831
169, 0.003105573, 0.004494612, 1.348453559
170, 0.002413149, 0.000759066, 1.353133139
171, -0.000861054, 0.004033359, 1.350113726
172, 0.007561708, -0.001220724, 1.351851448
173, 0.000978221, -0.003184907, 1.353857249
174, 0.004679091, 0.005118812, 1.346633256
175, 0.004314431, -0.003939757, 1.353540382
176, 0.000283704, 0.00068089, 1.355466566
177, -0.001102932, -0.000614003, 1.356890043
178, -0.00118753, 0.006729337, 1.351266768
179, 0.002728009, -0.00396698, 1.359683013
180, -0.00246562, 0.007996299, 1.348258572
182, -0.004424658, 0.002206642, 1.358774981
183, 0.000566807, 0.001836455, 1.357047221
184, 0.001705465, -0.003274493, 1.355106669
186, -0.000809295, -0.004240247, 1.354687223
187, -0.001135956, 0.000715652, 1.355593412
188, -0.003751611, -0.001835895, 1.363905743
189, -0.005733719, 0.006017567, 1.353002183
190, -0.004081958, 0.002376404, 1.356752856
193, -0.001023158, -0.000375158, 1.351665022
194, 0.006013832, 0.002764332, 1.344256256
195, 6.83925E-05, -0.005072444, 1.357535251
196, -0.000875767, -0.001239722, 1.358546649
197, -0.003098927, 0.003655144, 1.351723372
199, 0.001280844, 0.001326183, 1.349420952
200, -0.003805656, -0.000740622, 1.364122566
201, -0.003091851, -0.00321735, 1.356324298
202, -0.005318669, -0.004369315, 1.36649656
203, -0.002783808, -0.003422715, 1.357479672
204, 0.001598044, 0.001099364, 1.350588623
205, 0.000579827, -0.002103295, 1.351412759
206, 0.003939701, 0.000271704, 1.352219755
207, -0.006060935, -0.000821822, 1.357149463
208, -0.001080889, -0.001479112, 1.358236329
209, 0.002245927, -0.000635212, 1.352178536
210, -0.006412905, -9.12869E-05, 1.359790222
211, -0.00155719, 0.00034099, 1.355508671
212, 0.000432949, -0.004842187, 1.361721034
213, -0.000735805, 0.005105354, 1.355080934
214, -0.001276172, -0.003213218, 1.357272199
215, 0.00166663, 0.000612231, 1.353271662
217, -0.00437695, -0.007631018, 1.360639209
218, -0.0011299, -0.005626672, 1.357023279
219, -0.000486738, 0.004844741, 1.351192521
220, -0.002257952, -0.003409736, 1.365873002
221, -0.001013797, -0.003086955, 1.353109408
222, 0.001662156, 0.004161045, 1.345953168
223, 0.003167971, 0.001878154, 1.345597997
224, -0.000905463, 0.005444098, 1.351389304
225, -0.005626856, 0.007067603, 1.349454985
226, -0.00840878, 0.007670171, 1.356540743
227, -0.000649639, -0.004194161, 1.356494364
228, -0.005363399, -0.004151202, 1.364436099
229, 0.002419541, -0.002805759, 1.357823818
230, 0.001053164, 0.002819761, 1.350922767
231, 0.000668217, 0.003012641, 1.346460044
232, 0.004427871, 0.002823897, 1.34402138
233, 0.002344234, -0.005109519, 1.354038433
235, -0.000511167, 0.00015903, 1.353386558
236, 0.007674237, -0.003237215, 1.346332905
237, 0.004855375, -0.003414645, 1.350587249
238, -0.004384526, -0.006490931, 1.364413098
239, 0.001949916, 0.000362775, 1.352357197
240, 0.001764997, -0.005465798, 1.353841702
241, 0.001546076, -0.002967102, 1.357348965
242, 0.002615895, -0.004685865, 1.356739857
243, -0.001203586, 0.001362551, 1.356020585
244, -0.00034137, -0.002332692, 1.356589118
245, -0.000273516, -0.004581396, 1.361411876
246, 0.001135041, -0.000454016, 1.350969539
247, 0.002697077, 0.000203981, 1.354033323
248, -0.006958723, -0.008107027, 1.368477585
249, 0.006381468, 0.003280931, 1.340604308
250, -0.000203932, 0.003444193, 1.348787719
251, -0.002317652, 0.001738239, 1.351852561
252, 0.005552044, -0.005245489, 1.351595619
253, -0.0066432, -0.002595536, 1.363027987
254, -1.13273E-05, 0.003534102, 1.351524528
255, 0.002546454, 0.002014528, 1.34583153
257, 0.002474624, -0.001918401, 1.353736249
258, 0.007919669, 0.000992779, 1.348147737
259, 0.002531083, -0.007866879, 1.361766955
260, -0.004680836, -0.005848184, 1.364066661
261, 0.003291352, 0.002216856, 1.346897186
262, 0.00274953, 0.002161154, 1.349759203
263, 0.002212207, -0.000850849, 1.353685944
264, 0.001576651, 6.80569E-05, 1.348747804
266, -0.002767895, 0.004299313, 1.351377198
267, 0.004104709, -0.005753415, 1.360847579
268, -0.001039263, -0.006566775, 1.362904951
269, -0.000827101, 0.003920231, 1.351828367
270, -0.001461832, 0.004385495, 1.347720459
271, 0.005941433, -0.003866467, 1.353475557
272, 0.003555378, -0.003850712, 1.354210391
273, -0.006455821, 0.000501866, 1.360498037
274, -0.007950966, -0.004032767, 1.367660061
275, -0.003670059, 0.003011039, 1.354825687
276, 0.00109887, 0.002231725, 1.347816749
277, -0.005340349, -0.001232388, 1.364639363
278, 0.007343136, -0.00023724, 1.344670473
279, -0.005554568, -0.000307953, 1.362293681
280, -0.000921076, -0.000807363, 1.356398326
281, -0.007218896, 0.005763748, 1.355873424
282, 0.001636862, -0.002909976, 1.353552704
283, -0.000976703, 0.000885847, 1.353628497
284, -0.003984894, 0.000512344, 1.359274684
286, 0.004813475, -0.004382079, 1.350967557
287, 0.004455819, 0.001130918, 1.342163867
288, 0.000204948, -0.003734609, 1.353670563
289, -0.002796347, 0.001477745, 1.357875567
290, -0.003891567, 0.005162283, 1.34849277
291, -0.004555296, -0.005940198, 1.357994488
292, 0.003553332, 0.005549966, 1.341540824
293, 0.002732252, 0.005091925, 1.345084438
294, -0.003748275, -0.000558254, 1.356586118
295, 0.003512228, 0.004054309, 1.347732376
296, -0.005482185, 0.000604066, 1.358793175
297, -0.004385942, 0.000136705, 1.356780437
298, -0.004845635, -0.003759939, 1.36252063
299, -0.005592129, -0.006623465, 1.364872599
300, 0.001996665, -0.000601269, 1.353903516
302, -0.001886117, 0.001238474, 1.356072361
303, -0.001042251, 0.004338937, 1.344705529
304, 0.004080853, -0.001564327, 1.345863104
305, 0.001051402, 0.005064819, 1.346163368
306, 0.003541478, 0.005661854, 1.340308544
307, -0.004855917, 0.002968137, 1.354796396
308, 0.009338881, -0.001671287, 1.343228138
309, -0.003007516, -0.001253132, 1.359433756
310, -0.004821509, 0.006171532, 1.353823085
311, 0.00550881, 0.002596366, 1.346187296
312, 0.000387453, -0.005116656, 1.359902311
313, -0.005182276, 0.001230079, 1.356105982
316, 0.000272716, -0.001090863, 1.353978373
317, 0.005470219, -0.007346697, 1.353652847
318, -0.002146662, -0.005229633, 1.355126898
320, -0.002364105, 0.001250248, 1.355154718
321, 0.00272379, -0.00749897, 1.356425743
322, -0.004722933, -0.004745805, 1.365019262
323, 0.001887915, -0.003878187, 1.355276303
326, -0.002353047, 0.000988962, 1.351882403
327, 0.000259904, 0.006407206, 1.348380192
328, 0.004635265, 0.001390579, 1.345373109
329, 0.0080156, 0.003737611, 1.337255444
330, 0.006819332, -0.001198755, 1.34489774
331, -0.002769134, 0.003688395, 1.352492574
332, -0.007015814, -0.001325463, 1.360872477
333, -0.002444727, 0.000761845, 1.3571076
334, -0.002280926, -0.003467007, 1.360543625
335, 0.000852779, -0.002581078, 1.35526594
336, -0.000204001, 0.002912684, 1.351961205
337, -0.003523543, -0.006349241, 1.358126608
338, 0.000273265, -0.003757392, 1.353247614
339, 0.000339277, 0.005304037, 1.343994367
340, 0.000170172, 0.001259272, 1.353617859
341, 0.001173065, -0.004999762, 1.357993364
343, 0.00124875, -0.000783307, 1.353701224
344, -0.00195243, 0.002554051, 1.351803774
345, -0.001255, -0.005008591, 1.358039959
346, -0.005728414, 0.007350519, 1.35153812
347, 0.006003547, 0.007543783, 1.339738701
349, -0.005634834, 0.002379152, 1.357170738
350, -0.000443561, -0.001535404, 1.351868256
351, -0.000957575, -0.004229289, 1.354572935
352, 0.003178858, 0.001957091, 1.34223724
353, -0.007339791, -0.001749203, 1.365520153
354, 0.003601025, -0.003975895, 1.354289926
355, -0.001599976, 0.002689322, 1.347416089
356, -0.002843822, 0.00060289, 1.351501197
357, 0.000532376, 0.003001696, 1.35151323
358, -0.00080854, -0.00297224, 1.355431344
359, -0.002360904, 0.003030584, 1.350980884
360, -0.004017919, -0.002910708, 1.368014577
361, -0.000193617, -0.003769836, 1.364042962
364, 0.00367516, 0.002069398, 1.350309186
365, 0.001968039, 0.003517587, 1.35207778
366, 0.000226751, 0.002052095, 1.357171637
368, -0.001747793, 0.002598991, 1.351050976
369, 0.000876693, -0.004383467, 1.364592724
370, 0.000181221, 0.003375246, 1.354258549
372, -0.00167078, 0.000511463, 1.358345307
374, -0.001993112, -0.001890609, 1.357295557
375, -0.000896714, 0.001532359, 1.353782632
376, -0.000341898, -0.004433273, 1.363470823
377, 0.002494928, -0.000567029, 1.356516143
378, 0.000374711, -0.000181678, 1.354099439
379, 0.003898999, -0.001269442, 1.353172576
380, 0.003884525, -0.000147227, 1.350806784
381, 0.000238844, -0.002331569, 1.357769053
382, -0.005163976, -0.00609143, 1.369825253
383, -0.000886435, -9.09164E-05, 1.359169783
384, 0.004870861, -0.007727371, 1.356771566
385, -0.007953379, -0.008344152, 1.373106106
386, 0.002432056, -0.003386695, 1.35889546
387, -0.003935402, 0.001876709, 1.357357606
388, 0.004095546, 0.00101823, 1.352575436
389, 0.000716658, -0.002957637, 1.354897984
390, -0.002633058, -0.002336696, 1.357123538
391, -0.004516232, -0.001254509, 1.3572955
392, 0.00069147, 0.00176835, 1.354600365
393, 0.000566813, 0.001870484, 1.350093902
394, -0.008128076, 0.004883676, 1.361436832
395, 0.000580402, -0.003414128, 1.363542261
396, 0.000645807, 0.002560568, 1.354734446
397, 0.004912999, -0.003721625, 1.353981734
398, -0.00093586, -0.005774943, 1.364400015
399, 0.002130834, 0.000566711, 1.358388405
400, -0.000555727, 0.00232498, 1.358310255
401, -0.002437008, 0.011248596, 1.347996987
402, -0.006641444, -0.002331936, 1.367165811
403, -0.001683406, -0.000511846, 1.355355478
404, 0.003205305, 0.000419068, 1.353687423
405, -0.009562325, -0.006735003, 1.373734929
406, -0.005341738, -0.001540886, 1.358407382
407, 0.002900339, -0.005004507, 1.355767614
408, -0.001768525, 0.004137894, 1.345003819
409, 0.000136113, 0.001429187, 1.351972341
410, 0.001978682, 0.00396867, 1.351112833
411, 0.004031117, 0.003760118, 1.349646365
412, 0.000421826, -0.005768759, 1.36366517
413, 0.006446972, 0.003663052, 1.339905072
414, 0.00419168, -0.000940296, 1.347895959
415, 0.000227407, -0.001932957, 1.359520567
416, -0.000296093, -0.003507565, 1.359479987
417, 0.000508639, 0.005855004, 1.352709424
418, -0.001816742, 0.001975707, 1.358536687
419, -0.002824834, -0.001264341, 1.355865543
420, -0.00667928, -0.002973652, 1.359919638
422, -0.004634663, 0.000899603, 1.361046856
423, 0.00018153, 0.001123218, 1.355503827
424, 0.001332971, -0.005616707, 1.355431079
425, -0.008503545, 0.005316138, 1.362386279
426, 0.003825688, -0.003371601, 1.357989954
427, -0.003028876, -0.000603498, 1.361824805
428, 0.003307042, 0.000419043, 1.355346983
429, 0.00519052, -0.002391266, 1.355015762
430, -0.003256845, 0.004278156, 1.356667901
431, -0.002658547, 0.002022314, 1.350777135
432, 0.005709565, -0.002378986, 1.344923245
433, 0.003525241, -0.001054172, 1.354085895
434, -0.001069131, -0.001000889, 1.359885036
435, 0.001202833, -0.000113475, 1.352322478
436, 0.003362187, 0.000905639, 1.348766594
437, 0.000738377, -0.001147324, 1.351430485
438, -0.002556441, -0.004222693, 1.365097371
439, -0.001696686, -0.001935817, 1.359057221
440, 0.002918012, 0.002590019, 1.350923129
442, 0.00087302, 0.001326537, 1.353350967
443, -0.003124602, -0.002497401, 1.359914474
444, 0.002554493, -0.002247954, 1.353356907
445, -0.001407882, 0.001691729, 1.356021507
447, 0.004240265, -0.002006757, 1.356839559
448, 0.000273409, -0.004522647, 1.361435228
449, -0.001436918, -0.004310753, 1.359285311
450, -0.004592863, -0.006975196, 1.367621803
452, -0.00167886, -0.006018769, 1.357209504
453, 0.002685227, -0.005233917, 1.360489511
454, 0.011523367, -0.00446248, 1.350125104
455, -0.003099063, -0.00135584, 1.360382842
456, 0.002874773, -0.00369289, 1.354481563
457, 0.004025398, -0.001938994, 1.35736408
458, -0.003439334, -0.000398598, 1.364043246
459, -0.005053323, -0.004138694, 1.367510253
460, -0.002891649, -0.000443993, 1.357879725
462, -0.006934933, -0.003501798, 1.369761409
463, 0.002318263, 0.003449123, 1.351418604
464, 0.002505493, 0.005936438, 1.346856982
465, 0.001609356, 0.001065348, 1.350485521
466, -0.004914696, -0.000706986, 1.363939919
467, -0.000307322, -0.002800044, 1.359286915
468, -0.001811176, 0.006214599, 1.350769685
470, -0.00232161, -0.00051212, 1.363416459
471, -0.001381257, -0.005570689, 1.355960602
472, 0.001569761, -0.003810652, 1.360684933
473, -0.005256157, -0.000171025, 1.359845459
474, 0.004722892, -0.004268768, 1.356354451
475, 0.000362169, 0.004176266, 1.349250816
476, -0.002900362, 0.000841674, 1.360125315
477, -0.001080457, -0.000978098, 1.362892895
478, 0.006895184, -0.002762603, 1.354437265
479, 0.006080336, -0.00207207, 1.354938996
480, -0.005566617, -0.006139315, 1.369646753
481, 0.002329352, 0.003448799, 1.350401398
483, 0.00395175, 0.007779656, 1.348222297
484, 0.000125162, -0.002742195, 1.354770817
485, -0.007922132, -0.00498716, 1.369088841
486, 0.00078547, -0.004018421, 1.359915721
487, -0.003728359, 0.002512096, 1.35903128
488, -0.001044671, 0.001203643, 1.351743202
489, -0.001824409, -0.003683025, 1.360680542
490, 0.001697158, -0.005752114, 1.361995777
491, -0.001545307, 0.000772653, 1.355694151
492, 0.001068614, -0.002466907, 1.360974581
493, -0.000806249, 0.000840316, 1.353377769
494, -0.001440639, 0.002960683, 1.354030479
495, -0.001710972, -0.004300243, 1.360806908
496, -0.001707492, -0.001468443, 1.358978069
497, -0.003140662, -0.009421987, 1.368364783
499, 0.001974076, -0.000612644, 1.357585831
500, -0.001960782, -0.00326037, 1.357500742
501, -0.006186326, 0.004400934, 1.358090746
502, -0.005628249, -0.00155262, 1.359586264
503, -0.002407551, 0.002452977, 1.358021201
504, 0.000159715, -0.006388594, 1.361653598
505, -0.000204685, -0.001580619, 1.356958412
506, -0.003517443, -0.004077037, 1.359370849
507, 0.004525099, 0.004085002, 1.347443642
508, -0.002098381, -0.003649358, 1.362933729
509, -0.001091993, -0.001080618, 1.357597329
510, -0.004403343, -0.001722551, 1.366331209
512, -0.001909603, 0.000636534, 1.353930073
513, -0.002406975, 0.002736231, 1.360505084
515, 0.00173819, -0.002283505, 1.352070073
516, 0.003945869, -0.001859548, 1.351828735
517, -0.00217392, -0.000808106, 1.360419627
518, -0.0026874, -0.006804268, 1.367684099
519, 0.003796609, -0.001099317, 1.348450051
520, -0.00438441, 0.000626344, 1.36006342
521, 0.002987687, 0.001674915, 1.350258896
522, 0.004864878, 0.000271528, 1.350539922
523, 0.004033353, -0.000815734, 1.356736085
524, 0.000374039, 0.002176226, 1.347590637
525, 0.001323719, 0.003722253, 1.3492465
526, -0.000192423, 0.004663419, 1.35384724
527, -0.00419719, 0.002013286, 1.356224765
528, 0.003572533, -0.006098337, 1.358202132
530, -0.004643785, 0.001650365, 1.358292333
531, -0.000752806, -0.005201202, 1.359869064
533, -0.005410596, -0.007313475, 1.367393958
534, 0.000761612, -0.002080225, 1.359888459
535, 0.001178891, 0.001303581, 1.350426143
536, 0.001198808, 0.004444637, 1.349026443
537, -0.004462436, 0.004632758, 1.353493124
538, -0.000442831, 0.00063586, 1.356112325
539, 0.001481476, -0.006199407, 1.357374936
541, 0.005062456, -0.004449513, 1.355440801
542, -0.004938976, -0.000992358, 1.363620545
543, -0.003545407, 0.0027386, 1.353463812
544, 0.000283389, 0.002153756, 1.353239183
545, -0.002443641, -0.005047147, 1.360147793
546, 0.001269774, 0.001054366, 1.356119902
547, -0.005754195, 0.0012306, 1.358816067
548, 0.001740094, -0.003741772, 1.359816693
549, -0.002252667, -0.000216165, 1.352483928
550, -0.004988291, 0.001104713, 1.360063127
551, -0.007767116, -0.004181412, 1.370140959
552, -0.000806533, 0.000443025, 1.354152759
553, 0.002195434, -0.004447745, 1.36233182
554, -0.000147581, 0.000590322, 1.354604561
555, 0.003382199, -0.002599072, 1.355899643
556, -0.004148169, -0.000626784, 1.357557763
557, 0.004123536, -0.000804316, 1.35361516
558, -0.002302198, -0.002507344, 1.36023426
559, -0.003904296, 0.000717116, 1.358108678
560, -0.001095351, -0.005271376, 1.362797886
561, -0.001753227, -0.001605228, 1.355763849
562, 0.000295033, 0.000817015, 1.354186865
563, 0.00239279, -0.00048763, 1.35502922
564, -0.00292533, -0.005542129, 1.363263151
565, 0.000431825, -0.001363658, 1.356356551
566, 0.002762493, 0.001392568, 1.353534151
567, 0.001186653, 0.005413399, 1.34844725
568, -0.002054256, -0.004656314, 1.362512703
569, -0.004930881, -0.001997463, 1.366504633
